Filename,HiFspp,LoFspp,Consensus,ByVote,#Maj,#Accpt,MeanClssn,DiscrProb,Clssn if<Thr,DP if<Thr,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,1st,2nd,3rd,4th,<--All spp in sqnc classified with a DP>0.75 in order of prevalence,ParentDir,NextDirUp,FileLngth,Version,Filter,Preemphasis,MaxSegLngth,DP Thr,AccpQuality,AccpQualForTally,Max#CallsConsidered
REF-Summer_Tree-20130518_213140-Laci.wav,,1,Laci,Laci,3,3,Laci,0.9996,,,20.28,1.83,15.06,5.88,1.11,Laci,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130518_213318-Tabr.wav,,1,Tabr,Tabr,6,6,Tabr,0.9915,,,23.83,0.13,14.95,0.5,2.37,Tabr,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130518_213435-Laci.wav,,1,Laci,Laci,4,4,Laci,0.9991,,,19.87,0.67,12.19,6.11,1.68,Laci,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130518_214605.wav,,1,,,,,,,,,,,,,4.26,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130518_221302.wav,,,,,,,,,,,,,,,4.58,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_002702-Lano.wav,,1,Lano,Lano,2,2,Lano,0.9468,,,26.47,0.7,13.77,1.65,2.3,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_053012.wav,,,,,,,,,,,,,,,0.83,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_053022.wav,,,,,,,,,,,,,,,,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,30 kHz anti-katydid,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_203706-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.9985,,,27.68,,11.31,,3.32,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,30 kHz anti-katydid,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_203717-Lano.wav,,1,Lano,Lano,2,2,Lano,0.9675,,,27.18,0.13,13.11,1.26,4.39,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_204811.wav,,1,,,,,,,Lano/Laci,0.474/0.278,,,,,3.55,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_205404.wav,,1,,,,,,,Laci/Tabr,0.713/0.160,,,,,3.19,Lano,Laci,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_205839.wav,,1,,,,,,,,,,,,,1.32,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_210103.wav,,1,,Lano,2,2,,,Lano/Laci,0.504/0.300,27.6,1.13,10.56,1.6,4.37,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_210314-Lano.wav,,1,Lano,Lano,2,2,Lano,0.9804,,,26.86,0.11,11.35,1.96,2.1,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
